Symbol,Quantity,FyersTf,MA1,StartTime,Stoptime,RiskAmount
ABB,1,5,21,9:25:00,23:00:00,1000
ACC,1,5,21,9:25:00,23:00:00,1001
APLAPOLLO,1,5,21,9:25:00,23:00:00,1002
AUBANK,1,5,21,9:25:00,23:00:00,1003
ADANIENSOL,1,5,21,9:25:00,23:00:00,1004
ADANIENT,1,5,21,9:25:00,23:00:00,1005
ADANIGREEN,1,5,21,9:25:00,23:00:00,1006
ADANIPORTS,1,5,21,9:25:00,23:00:00,1007
ADANIPOWER,1,5,21,9:25:00,23:00:00,1008
ATGL,1,5,21,9:25:00,23:00:00,1009
ABCAPITAL,1,5,21,9:25:00,23:00:00,1010
ABFRL,1,5,21,9:25:00,23:00:00,1011
ALKEM,1,5,21,9:25:00,23:00:00,1012
AMBUJACEM,1,5,21,9:25:00,23:00:00,1013
APOLLOHOSP,1,5,21,9:25:00,23:00:00,1014
APOLLOTYRE,1,5,21,9:25:00,23:00:00,1015
ASHOKLEY,1,5,21,9:25:00,23:00:00,1016
ASIANPAINT,1,5,21,9:25:00,23:00:00,1017
ASTRAL,1,5,21,9:25:00,23:00:00,1018
AUROPHARMA,1,5,21,9:25:00,23:00:00,1019
DMART,1,5,21,9:25:00,23:00:00,1020
AXISBANK,1,5,21,9:25:00,23:00:00,1021
BSE,1,5,21,9:25:00,23:00:00,1022
BAJAJ-AUTO,1,5,21,9:25:00,23:00:00,1023
BAJFINANCE,1,5,21,9:25:00,23:00:00,1024
BAJAJFINSV,1,5,21,9:25:00,23:00:00,1025
BAJAJHLDNG,1,5,21,9:25:00,23:00:00,1026
BAJAJHFL,1,5,21,9:25:00,23:00:00,1027
BANDHANBNK,1,5,21,9:25:00,23:00:00,1028
BANKBARODA,1,5,21,9:25:00,23:00:00,1029
BANKINDIA,1,5,21,9:25:00,23:00:00,1030
MAHABANK,1,5,21,9:25:00,23:00:00,1031
BDL,1,5,21,9:25:00,23:00:00,1032
BEL,1,5,21,9:25:00,23:00:00,1033
BHARATFORG,1,5,21,9:25:00,23:00:00,1034
BHEL,1,5,21,9:25:00,23:00:00,1035
BPCL,1,5,21,9:25:00,23:00:00,1036
BHARTIARTL,1,5,21,9:25:00,23:00:00,1037
BHARTIHEXA,1,5,21,9:25:00,23:00:00,1038
BIOCON,1,5,21,9:25:00,23:00:00,1039
BOSCHLTD,1,5,21,9:25:00,23:00:00,1040
BRITANNIA,1,5,21,9:25:00,23:00:00,1041
CGPOWER,1,5,21,9:25:00,23:00:00,1042
CANBK,1,5,21,9:25:00,23:00:00,1043
CHOLAFIN,1,5,21,9:25:00,23:00:00,1044
CIPLA,1,5,21,9:25:00,23:00:00,1045
COALINDIA,1,5,21,9:25:00,23:00:00,1046
COCHINSHIP,1,5,21,9:25:00,23:00:00,1047
COFORGE,1,5,21,9:25:00,23:00:00,1048
